Unnamed: 0,tags,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type_Allen_010_diff_06,label
28,Sb-2dm-3356/PtO2-2dm-4178,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.812333403,2.284,-5.1279,-8.4067,3.145525,3.145525133,21.895886,90.0,90.0,119.9999881,Z-scheme_A,1
29,Sb-2dm-3356/ZnSe-2dm-4928,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.567331215,1.773,-3.1859,-6.6258,4.051328,4.051328,23.024464,90.0,90.0,90.0,,0
30,Sb-2dm-3356/Sn(PS3)2-2dm-5267,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.496801214,2.698,-4.7198,-7.1359,6.060796,6.060795737,23.37358,90.0,90.0,59.99999857,Z-scheme_A,1
31,Sb-2dm-3356/AgBiO2-2dm-5528,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.809461623,2.262,-2.5429,-5.637,3.518197,6.688125755,23.757028,89.78576118,90.0,90.0,,0
32,Sb-2dm-3356/AgI-2dm-3794,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.185094892,2.85,-3.3361,-6.3876,4.451075,4.451074729,23.640584,90.0,90.0,119.9999946,,0
33,Sb-2dm-3356/MoF5-2dm-4729,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.9039528,1.755,-8.3142,-8.7526,3.643951,4.478279,23.786277,90.0,90.0,90.0,,0
34,Sb-2dm-3356/AuClO2-2dm-3945,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.848545305,1.873,-5.5614,-7.5309,3.884086,7.280273,22.803907,90.0,90.0,90.0,,0
35,Sb-2dm-3356/Al2Zn2S5-2dm-3288,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.539946506,4.281,-2.8349,-5.3461,3.646636,3.646637007,31.887533,90.0,90.0,120.000009,,0
36,Sb-2dm-3356/Te3As2-2dm-5359,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.178027318,3.838,-4.1632,-5.1666,4.036619,4.036618731,27.303248,90.0,90.0,59.9999896,,0
37,Sb-2dm-3356/Al2Zn2S5-2dm-2999,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.540017268,4.299,-3.4313,-5.3965,3.641271,3.641271087,31.890956,90.0,90.0,120.0000083,,0
38,Sb-2dm-3356/As-2dm-3447,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.210777757,2.097,-3.6278,-4.8758,3.704816,4.680407,22.423865,90.0,90.0,90.0,,0
39,Sb-2dm-3356/AgI-2dm-4861,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.185013386,2.589,-3.2846,-6.4109,4.350368,4.350368,23.624085,90.0,90.0,90.0,,0
40,Sb-2dm-3356/Mg2Al2Se5-2dm-4027,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.268670427,3.939,-3.2131,-5.4725,3.878769,3.878769692,32.800694,90.0,90.0,120.0000026,,0
41,Sb-2dm-3356/AgN3-2dm-3449,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.650243418,1.231,-2.6282,-5.7116,5.409575,6.348511,21.248845,90.0,90.0,90.0,,0
42,Sb-2dm-3356/Mg(AlS2)2-2dm-3543,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.422797811,3.878,-2.8871,-6.0035,3.686203,3.686202868,29.038372,90.0,90.0,59.99998984,,0
43,Sb-2dm-3356/Ag2SeO4-2dm-3267,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.880608401,1.475,-4.093,-7.1322,4.771557,6.485615546,22.026553,90.0,90.0,111.5835033,,0
44,Sb-2dm-3356/Al2Zn2S5-2dm-3191,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.540097735,4.295,-3.203,-5.3796,3.642073,3.642073475,31.894417,90.0,90.0,59.99999523,,0
45,Sb-2dm-3356/Al2ZnS4-2dm-3208,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.508125012,3.868,-3.1115,-5.6509,3.657106,3.65710676,28.962192,90.0,90.0,59.99998878,,0
46,Sb-2dm-3356/Mg(AlSe2)2-2dm-4113,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.273420117,3.526,-3.296,-5.5381,3.885535,3.885534735,29.62725,90.0,90.0,60.00000626,,0
47,Sb-2dm-3356/AgBrO4-2dm-4961,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.097636677,1.463,-4.7591,-8.0725,4.924892,4.924892,21.851947,90.0,90.0,90.0,Z-scheme_A,1
48,Sb-2dm-3356/AgCl-2dm-5106,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.391668832,2.569,-4.4787,-6.7738,3.690734,3.764571,23.133334,90.0,90.0,90.0,,0
49,Sb-2dm-3356/WF5-2dm-4702,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0,,0
50,Sb-2dm-3356/Ag2SO4-2dm-4885,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.909470637,1.433,-3.2547,-6.9291,4.952409,6.286010538,21.762309,90.0,90.0,113.1988299,,0
51,Sb-2dm-3356/Ge2Te5As2-2dm-3653,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.00582062,5.262,-4.1603,-4.8172,4.117924,4.117924178,33.872384,90.0,90.0,119.9999986,,0
52,Sb-2dm-3356/TiMn2O6-2dm-4397,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837,,0
53,Sb-2dm-3356/As-2dm-3312,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.210777757,1.771,-3.5758,-5.8068,3.603291,3.603291646,21.287882,90.0,90.0,59.99999675,,0
54,Sb-2dm-3356/AsI3-2dm-5507,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.338189238,2.467,-3.9025,-6.7823,7.187054,7.187053703,23.36313,90.0,90.0,59.99999864,,0
55,Sb-2dm-3356/AgNO3-2dm-4750,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.057361059,0.95,-2.7082,-6.8287,5.252387,5.25238712,20.973331,90.0,90.0,60.00000706,,0
56,Sb-2dm-3356/Al2Te5-2dm-4985,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.091396898,2.677,-3.4877,-5.4417,4.180646,8.306388909,24.078083,90.0,90.0,104.5753164,,0
57,Sb-2dm-3356/SnSe2-2dm-4715,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.322136442,2.62,-5.1507,-6.59,3.851815,3.851815061,23.192878,90.0,90.0,119.9999909,Z-scheme_A,1
58,Sb-2dm-3356/Bi2Te2S-2dm-4461,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.222796212,3.336,-4.6796,-5.4512,4.251572,4.251741,26.487177,90.0,90.0,90.0,Z-scheme_A,1
59,Sb-2dm-3356/AgClO4-2dm-3393,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.121303775,1.448,-3.0838,-7.8699,4.804301,4.804301,21.726015,90.0,90.0,90.0,,0
60,Sb-2dm-3356/NiBr2-2dm-3741,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.40840295,2.244,-4.074,-7.3548,3.646047,3.646047834,22.803043,90.0,90.0,59.9999985,,0
61,Sb-2dm-3356/Sr(SnAs)2-2dm-4761,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,1.988757921,3.24,-3.2348,-4.6561,4.159285,4.159283976,27.237638,90.0,90.0,59.9999839,,0
62,Sb-2dm-3356/AuO2F-2dm-4797,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0,,0
63,Sb-2dm-3356/BiIO-2dm-3710,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.77269196,3.812,-4.6628,-6.9529,4.012014,4.012014,26.221992,90.0,90.0,90.0,Z-scheme_A,1
64,Sb-2dm-3356/Ca3SiBr2-2dm-4523,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.248722003,1.607,-1.5932,-2.9143,4.531034,5.828534,24.856391,90.0,90.0,90.0,,0
65,Sb-2dm-3356/CuSe2Br-2dm-4942,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.400343043,1.792,-4.6723,-6.3575,4.908693,7.754917,23.08857,90.0,90.0,90.0,Z-scheme_A,1
66,Sb-2dm-3356/CuTe2Br-2dm-5156,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.297216264,2.155,-4.0989,-5.854,5.128019,8.228238,22.97503,90.0,90.0,90.0,,0
67,Sb-2dm-3356/BiI3-2dm-3628,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.313024995,2.437,-3.8473,-7.0898,7.596411,7.596411333,23.704174,90.0,90.0,59.9999971,,0
68,Sb-2dm-3356/Br-2dm-5522,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.68516788,1.195,-5.0471,-7.4831,4.181034,8.699793,19.861582,90.0,90.0,90.0,Z-scheme_A,1
69,Sb-2dm-3356/CuBr-2dm-3405,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.384556157,1.176,-2.796,-5.5378,4.071361,4.071361703,20.0,90.0,90.0,120.0000187,,0
70,Sb-2dm-3356/SbBrO-2dm-4701,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.90102591,3.626,-4.9306,-7.4855,3.817251,3.817251,25.596943,90.0,90.0,90.0,Z-scheme_A,1
71,Sb-2dm-3356/Bi2TeSe2-2dm-4503,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.244189767,3.637,-4.7558,-6.4206,4.23207,4.232069387,27.475999,90.0,90.0,60.00001084,Z-scheme_A,1
72,Sb-2dm-3356/MnBr2-2dm-3606,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.404358252,2.169,-3.1609,-7.2941,3.851835,3.85183615,23.107331,90.0,90.0,119.9999987,,0
73,Sb-2dm-3356/Bi2Te2Se-2dm-4819,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.183128935,3.721,-4.4877,-5.8598,4.304155,4.304156487,27.387606,90.0,90.0,60.00000374,,0
74,Sb-2dm-3356/Bi2Te3-2dm-4406,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.119205791,3.886,-4.3906,-5.8357,4.390405,4.390405888,27.568998,90.0,90.0,59.99999916,,0
75,Sb-2dm-3356/RhBr3-2dm-3618,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.356651834,2.164,-4.3552,-7.2445,6.353159,6.353158729,22.819371,90.0,90.0,120.0004573,,0
76,Sb-2dm-3356/HfBrN-2dm-4609,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.579865264,2.721,-3.6349,-6.8806,3.559545,4.099471,25.912778,90.0,90.0,90.0,,0
77,Sb-2dm-3356/IrBr3-2dm-3663,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.396897082,2.064,-3.6744,-6.7672,6.412737005,6.412735932,22.782597,90.0,90.0,119.9971717,,0
78,Sb-2dm-3356/InBr3-2dm-4040,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.606551592,2.076,-4.0907,-8.1432,6.801092,6.80057897,23.172576,90.0,90.0,59.99736896,,0
79,Sb-2dm-3356/Bi2Se3-2dm-4453,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.308254936,3.465,-5.0144,-6.4708,4.151019,4.151020198,27.040325,90.0,90.0,60.00000158,Z-scheme_A,1
80,Sb-2dm-3356/B2S3-2dm-3796,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.483401917,1.474,-4.2545,-7.1446,5.456369,5.456369106,20.011837,90.0,90.0,59.99999458,,0
81,Sb-2dm-3356/Bi2Te2S-2dm-3473,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.225222601,3.798,-4.4736,-5.9164,4.265416,4.265416835,27.069458,90.0,90.0,59.99999096,,0
82,Sb-2dm-3356/BiBrO-2dm-3406,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.908780877,3.357,-4.7152,-8.0556,3.929191,3.929191,25.731456,90.0,90.0,90.0,Z-scheme_A,1
83,Sb-2dm-3356/CrCl3-2dm-3836,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.641773738,2.221,-4.5455,-8.512,5.99089,5.991349925,22.676999,90.0,90.0,119.9974607,,0
84,Sb-2dm-3356/InClO-2dm-3585,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.046770888,3.102,-4.6574,-8.7124,3.560343,4.125779,25.6635,90.0,90.0,90.0,,0
85,Sb-2dm-3356/SnClF-2dm-5132,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.949424838,3.182,-3.7608,-7.2759,3.954906,3.954906,25.145386,90.0,90.0,90.0,,0
86,Sb-2dm-3356/CrBr3-2dm-3768,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.485779505,2.094,-4.5442,-7.5648,6.359725,6.359709672,22.871559,90.0,90.0,120.0000655,,0
87,Sb-2dm-3356/Ba(BSe3)2-2dm-4261,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.349290662,1.699,-2.6934,-5.8985,6.868421395,6.868421286,22.879151,90.0,90.0,112.1569886,,0
88,Sb-2dm-3356/PdCl2-2dm-3243,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.366052932,2.159,-5.0744,-7.6098,3.890027,6.443039,22.605336,90.0,90.0,90.0,Z-scheme_A,1
89,Sb-2dm-3356/CuI-2dm-4972,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.255386928,2.772,-2.2347,-5.5524,4.10572,4.105718789,23.8053,90.0,90.0,119.9999936,,0
90,Sb-2dm-3356/InBrO-2dm-3667,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.958982969,3.052,-4.4898,-8.0557,3.663681,4.099551,25.978651,90.0,90.0,90.0,,0
91,Sb-2dm-3356/CuSe2Cl-2dm-4225,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.446860134,1.775,-4.6957,-6.4044,4.911456,7.666946,22.779884,90.0,90.0,90.0,Z-scheme_A,1
92,Sb-2dm-3356/CrO2-2dm-5091,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.071350867,2.308,-7.1761,-8.9033,2.885048,2.886912273,21.911947,90.0,90.0,60.0419876,,0
93,Sb-2dm-3356/IrCl3-2dm-3776,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.536122635,2.173,-3.7088,-7.2785,6.092665794,6.092665625,22.53232,89.97743966,89.97743967,119.9797527,,0
94,Sb-2dm-3356/BiBr3-2dm-3868,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.593917283,1.956,-4.1076,-7.8731,7.187321406,7.187321275,23.476143,90.0,90.0,120.0239718,,0
95,Sb-2dm-3356/AuI-2dm-3495,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.117657398,2.63,-2.799,-5.4343,4.231040784,4.23103949,24.122461,90.0,90.0,92.7938274,,0
96,Sb-2dm-3356/CuBr-2dm-3517,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.384526159,2.105,-3.2117,-6.3827,3.776496,3.776496,23.172597,90.0,90.0,90.0,,0
97,Sb-2dm-3356/Sr2CoO3-2dm-4427,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.979105546,1.723,-1.2089,-2.6334,3.513043137,3.513041937,24.521056,90.0,90.0,90.58606222,,0
98,Sb-2dm-3356/NiCl2-2dm-3432,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.52297708,2.362,-4.1104,-8.186,3.45607,3.456070139,22.61355,90.0,90.0,59.99998218,,0
99,Sb-2dm-3356/CuTe2I-2dm-5239,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.218082663,2.359,-4.0904,-5.8118,5.167785,8.43491,23.272398,90.0,90.0,90.0,,0
100,Sb-2dm-3356/LiCuO2-2dm-4683,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.069075982,1.292,-4.4811,-7.1514,2.67287,5.352604378,17.291106,83.97126687,90.0,90.0,,0
101,Sb-2dm-3356/Ba2TiO4-2dm-3897,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.245545256,1.612,-0.6905,-3.9613,3.974519,3.974715,23.948238,90.0,90.0,90.0,,0
102,Sb-2dm-3356/AuBr-2dm-4576,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.245673035,2.161,-3.0867,-6.0478,4.135507003,4.135507502,23.904198,90.0,90.0,91.07484666,,0
103,Sb-2dm-3356/VCl2-2dm-3622,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.580497711,2.143,-2.3479,-6.4193,3.628011,3.628011517,22.665532,90.0,90.0,120.0000044,,0
104,Sb-2dm-3356/CuTe2Cl-2dm-4859,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.344125054,2.198,-4.0744,-5.8081,5.062996,8.046545,22.718205,90.0,90.0,90.0,,0
105,Sb-2dm-3356/Ge(BiTe2)2-2dm-3740,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.026292194,4.645,-4.198,-5.6093,4.350099,4.350099906,31.059379,90.0,90.0,59.99999928,,0
106,Sb-2dm-3356/RhCl3-2dm-3458,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.496633356,2.292,-4.4997,-7.8593,6.015734,6.015734606,22.631236,90.0,90.0,119.9967519,,0
107,Sb-2dm-3356/HfS2-2dm-3834,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.349473434,2.466,-4.9353,-7.0287,3.633023,3.633023068,22.876961,90.0,90.0,120.0000085,Z-scheme_A,1
108,Sb-2dm-3356/HfSe2-2dm-4424,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.199626883,2.322,-4.8264,-6.1361,3.76173,3.761729357,23.150314,90.0,90.0,120.0000057,Z-scheme_A,1
109,Sb-2dm-3356/HfTeSe4-2dm-4723,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.276049764,2.42,-4.4662,-6.0393,3.852288,6.821241,23.212728,90.0,90.0,90.0,,0
110,Sb-2dm-3356/GeI2-2dm-3455,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.11217965,2.576,-3.5736,-6.4057,4.254018,4.254017432,23.515878,90.0,90.0,120.0000044,,0
111,Sb-2dm-3356/ZnI2-2dm-4716,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.486573761,2.518,-3.7767,-6.7691,4.06823,4.068230408,23.259981,90.0,90.0,60.00000332,,0
112,Sb-2dm-3356/MnI2-2dm-3728,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.174099874,2.701,-3.2073,-6.4739,4.126205,4.126204446,23.320309,90.0,90.0,119.9999964,,0
113,Sb-2dm-3356/InSe-2dm-3459,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.234884542,3.053,-4.2254,-6.5347,4.050943,4.050942276,25.367028,90.0,90.0,60.00000225,,0
114,Sb-2dm-3356/GaSe-2dm-3530,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.325840722,2.697,-3.5923,-6.395,3.796432,3.796431519,24.817544,90.0,90.0,120.0000042,,0
115,Sb-2dm-3356/CdI2-2dm-4402,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.514443922,2.391,-3.59,-7.0197,4.273197,4.273196614,23.435848,90.0,90.0,119.9999952,,0
116,Sb-2dm-3356/InSe-2dm-3756,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.238376122,2.038,-3.459,-6.0608,4.080876,5.948440618,23.241441,90.0,90.0,69.93898404,,0
117,Sb-2dm-3356/HfS3-2dm-3809,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.411436747,3.487,-4.5957,-6.5819,3.58914,5.104483,25.891587,90.0,90.0,90.0,,0
118,Sb-2dm-3356/GaTe-2dm-3099,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.161103034,3.021,-3.6164,-5.7759,4.115173,4.115171573,25.019273,90.0,90.0,120.0000034,,0
119,Sb-2dm-3356/GeClF-2dm-4252,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.109882927,2.936,-4.1617,-8.1083,3.725314,3.725314,25.063772,90.0,90.0,90.0,,0
120,Sb-2dm-3356/SnBrF-2dm-3978,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.196387471,3.112,-4.0594,-7.2538,4.024061,4.024061,25.944604,90.0,90.0,90.0,,0
121,Sb-2dm-3356/Cu2WS4-2dm-4517,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.303892619,2.057,-3.8723,-6.3821,5.406426,5.406426,22.609187,90.0,90.0,90.0,,0
122,Sb-2dm-3356/GaSe-2dm-3781,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.337975058,2.321,-4.468,-5.3805,3.923342,3.923341273,25.282452,90.0,90.0,120.0000061,,0
123,Sb-2dm-3356/CuBiO2-2dm-4048,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.85547074,2.148,-2.3678,-4.8863,3.527105,6.151100173,23.494112,89.31455062,90.0,90.0,,0
124,Sb-2dm-3356/AuBrO2-2dm-4476,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.803278288,1.845,-5.4666,-7.242,3.856275,7.477059,23.034943,90.0,90.0,90.0,,0
125,Sb-2dm-3356/KH2N-2dm-3412,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.72879738,0.896,-1.2443,-4.7392,3.725493,4.601743,24.611258,90.0,90.0,90.0,,0
126,Sb-2dm-3356/MnCl2-2dm-3745,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.541084905,2.254,-3.165,-7.8533,3.686836,3.686836316,22.766088,90.0,90.0,60.00000283,,0
127,Sb-2dm-3356/GaS-2dm-3608,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.434099539,2.967,-3.5549,-6.8426,3.60874,3.608740419,24.64035,90.0,90.0,119.9999962,,0
128,Sb-2dm-3356/CuI-2dm-3638,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.25494064,2.588,-2.1967,-5.5721,3.992729,3.992729,23.396832,90.0,90.0,90.0,,0
129,Sb-2dm-3356/SbClO-2dm-4179,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.98255712,3.669,-4.7814,-7.6944,3.765332,3.765332,25.241912,90.0,90.0,90.0,Z-scheme_A,1
130,Sb-2dm-3356/SnO-2dm-3088,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.083944728,2.79,-2.7807,-5.7365,3.509028916,3.509029395,22.789061,90.0,90.0,98.56789069,,0
